Intent,User Says,Bot Response
saludo,"hola, qué tal|hey bot, estás ahí?|hola núcleobot|buenas","¡Hola! Soy Núcleobot, tu guía creativo en Núcleo Colectivo 🌱. ¿En qué puedo ayudarte hoy?"
que_es_nucleo,"¿qué es núcleo colectivo?|cuéntame sobre el proyecto|no conozco núcleo, ¿me explicas?","Núcleo Colectivo es un espacio de creación, colaboración y transformación social desde el arte, la tecnología y la imaginación. 🌍✨"
talleres_info_general,¿qué talleres ofrecen?|quiero saber sobre los talleres|¿tienen cursos?,"Claro, tenemos talleres de creatividad con IA, arte colaborativo, programación creativa y más. ¿Te gustaría ver los próximos disponibles?"
próximos_eventos,¿cuándo es el próximo taller?|¿hay eventos esta semana?|quiero asistir a algo pronto,Próximamente tendremos eventos muy interesantes 💡. Déjame revisar cuál es el próximo… ¿puedes indicarme tu ciudad o interés específico?
inscripción_taller,¿cómo me inscribo?|quiero registrarme|apuntarme a un taller,Puedes inscribirte llenando nuestro formulario en la web o escribiendo al correo 📩 nucleo.colectivo.art@gmail.com
contacto_directo,¿cómo me comunico con ustedes?|¿tienen whatsapp o correo?|quiero hablar con alguien,Puedes contactarnos directamente por WhatsApp al **3006101221** o al correo **nucleo.colectivo.art@gmail.com**.
colaborar,quiero colaborar con el proyecto|¿puedo ser parte del equipo?|me interesa apoyar,¡Nos encanta colaborar! 💜 Cuéntame un poco más sobre tu idea o en qué campo te gustaría aportar.
artistas_participantes,¿quiénes han participado?|qué artistas han estado en núcleo|quiero conocer experiencias previas,"En Núcleo han participado artistas visuales, educadores, programadores y soñadores 💫. Puedes ver algunas colaboraciones en nuestras redes o página web."
recursos,"¿qué recursos usan?|usan IA, qué herramientas tienen?|¿qué materiales necesito?","Usamos herramientas como ChatGPT, ElevenLabs, Canva, Landbot, entre otras. También facilitamos acceso a plataformas y formación para proyectos individuales o colectivos."
problemas_web,no me carga la página|hay error al entrar|algo no funciona,Lamento eso 😓. ¿Podrías decirme si estás usando un celular o computador? También puedes escribirnos y con gusto te ayudamos a resolverlo.
actividades_inclusivas,¿tienen actividades para personas ciegas?|¿es accesible para todos?|¿hay inclusión?,"Sí 🌈. Estamos diseñando espacios para personas con discapacidad visual y diversidad funcional. Queremos que Núcleo sea accesible, abierto y empático."
dinámicas_creativas,invéntame una dinámica para taller|quiero hacer algo con IA y arte|¿me das una idea creativa?,"Claro 🎨. ¿Qué te parece esta?: “Crea una pieza visual basada en un sueño que hayas tenido, usando IA generativa para transformar palabras en imágenes”. ¿Quieres más ideas?"
temas_específicos,quiero IA para sonido|dame algo sobre animación con IA|qué hay de narrativas interactivas,"Tenemos contenidos sobre IA para arte sonoro, escritura, video, diseño generativo… dime tu interés y te recomiendo recursos o talleres."
despedida,gracias|hasta luego|chao núcleobot,¡Gracias por conversar conmigo! 🌟 Sigue explorando y creando con Núcleo Colectivo.
feedback,quiero dejar una sugerencia|no me gustó algo|puedo dar una opinión,Tu opinión es muy importante 🧠💬. ¿Podrías contarme más? Cada aporte nos ayuda a mejorar.
redes_sociales,¿tienen Instagram?|dónde los encuentro online?|quiero ver fotos,"Claro 📱, encuéntranos en [Instagram: @nucleo.colectivo](https://www.instagram.com/nucleo.colectivo) y en nuestra [web oficial](https://nucleocolectivo.art)."
convocatorias,¿cuándo hay convocatoria?|me interesa participar|¿puedo presentar mi proyecto?,Próximamente abriremos una nueva convocatoria para artistas y colectivos. ¿Quieres que te avisemos cuando esté activa?
chatbot_prompt_generator,ayúdame a crear un prompt|quiero un prompt para ilustración|escribe un prompt de diseño,"Con gusto. ¿Qué quieres crear? Dame algunos detalles como estilo, tema, público objetivo y te creo un prompt personalizado 🧩"
